,user,song,play_count,interest,score
22617,9c2dfee26bbdd4fb19e9800244bea6e7181caeae,SOLRGVL12A8C143BC3,10,1,1
10053,20ad98ab543da9ec41c6ac3b6354c5ab3ca6bc5e,SOWKQYL12AB0183B15,3,1,1
18172,a2679496cd0af9779a92a13ff7c6af5c81ea8c7b,SOILFUU12AB017C75F,4,1,1
21418,690ab317e29d08acb0a11e82eb0f83428cf812f9,SOPNLBX12A8C1377D4,2,1,1
9042,5339907639d69d89e0447aad8e0277d5e455dc76,SORPVUD12A67020454,5,1,1
31777,02471b044e6bdff7c01e1ea2791214268ba5aaf4,SOBOUPA12A6D4F81F1,9,1,1
25694,82c6fd88900f461fd0bd25ea28ebee94a76c66ec,SOFRCGW12A81C21EA6,9,1,1
870,e5b4f068ec1446a74564b4b8b8d13dcea7d27840,SOTWSXL12A8C143349,5,1,1
31799,02471b044e6bdff7c01e1ea2791214268ba5aaf4,SONVPTP12A6D4F7A34,2,1,1
28970,c6407c06bb11a4fc74b1dbbd4b4474d89581f08b,SONOYIB12A81C1F88C,1,0,1
3318,4be305e02f4e72dad1b8ac78e630403543bab994,SOUFPNI12A8C142D19,113,1,1
11431,5bf800bef870a6c00532a1e67a15a715f80a7184,SOGPBAW12A6D4F9F22,15,1,1
8336,189f3d247c01e8319458d82ed68cbaf3112fe9fb,SOKOXWU12AF72AD1BC,3,1,1
3567,fef771ab021c200187a419f5e55311390f850a50,SOVGLTY12AF72A39CD,1,0,1
29005,c6407c06bb11a4fc74b1dbbd4b4474d89581f08b,SOULTKQ12AB018A183,7,1,1
32967,13a2d690b099bcd3fdd256bd39aa14edadd5db08,SOWCBKV12AC90732A6,7,1,1
5912,3a6553c25f5dce3dbbbedc429496d40bf913e354,SOYVSHP12A6702016E,1,0,1
11656,db6a78c78c9239aba33861dae7611a6893fb27d5,SOYYCTP12AB017E29C,1,0,1
3871,54d07c4eff369f457c7a5d1c0b9b6c48feb949f4,SONIQRE12AF72A2B02,2,1,1
36251,3877e44d4632df125ec8a838aae59eb04d36f9d6,SOVRTPN12AB0184F9E,7,1,1
9933,4ae01afa8f2430ea0704d502bc7b57fb52164882,SOPPROJ12AB0184E18,3,1,1
13752,aba3117aae6344fb8d28c711b87b2aa3f1c4be75,SOXCCPU12A58A7BF1E,19,1,1
27473,42ac141a65053a2ba02c5380ccf7975022e307a6,SOODSPH12AB01819C3,2,1,1
22044,0a66acea5854a05a1514cd259124433b4190534a,SOXPZEZ12A8AE48AC9,2,1,1
13661,a35cd4647f5eaf7fe9c79adfe8d9ec45b8bf3bd3,SOYJJRX12A8C137A0F,6,1,1
29054,e58e9da7ba717f1bc6079626d5513530dd8f9b97,SOOEEPE12A8AE459A4,25,1,1
11966,b4357696b37950c23ce4e87f7e8620071f65fc44,SONTQUO12A6D4F7D8B,29,1,1
28323,bb0c93f971ee41a7bdfedcd9aad701bfadfca5c8,SOLLNTU12A6701CFDC,6,1,1
20960,6bfaf522b9bfb59370d8adfa7f6093579502d775,SOTFIPT12A6701F2FA,1,0,1
26723,eead778628d156cb05b8712f6b1493ee4dba3c66,SOTXDCY12AF729A39B,9,1,1
20762,99f86869c18bbd4a181e7d61c413d420323a5bf0,SOWGHHQ12A67021878,4,1,1
26588,32059ac26f8d04aac58d7cb013d40a1218a54792,SOTXDCY12AF729A39B,3,1,1
21957,f6d78516f331c684ee611e07effcb796e94ae456,SOPGCOH12A8C139789,1,0,1
720,ee30810179c611d32705fe0b71333dcb8703b30a,SOUOCRG12A67AE0E17,1,0,1
20728,99f86869c18bbd4a181e7d61c413d420323a5bf0,SONNSYV12A8C146BEC,1,0,1
34513,91008efedbdb903424a51e3cd18b8b80624dd4f4,SOWGDDU12AF72A03DA,5,1,1
13843,7292940e88718a59e8310c6f53363fd5a76e7651,SOKRAMY12A8C140804,2,1,1
951,1aa4fd215aadb160965110ed8a829745cde319eb,SOUUZPU12A6701FB90,2,1,1
12517,a0cce68e115910e1ad80fd1502bab746c74835f5,SOMDVSL12A6D4F7230,2,1,1
25558,1ff6d6bf0ec7ad1c288a48d6e06fd5ad708877d9,SOWCKVR12A8C142411,17,1,1
14557,91cf50e35e3fa924450d86ecae248b7cea113f0b,SOLTIVF12AAFF43797,2,1,1
34405,99dedd05d478e3aa54b199f4432fcb9907456b34,SOYGKNI12AB0187E6E,3,1,1
30068,15b447e75c02e91a9d8ce92fd6f2d1366d07d380,SOOYDAZ12A58A7AE08,9,1,1
9588,911cd40f59cabcadc026204b3009bc7f1b2fdfbf,SOYLDJC12A6701E2FF,69,1,1
11765,d8e6fa08d73821f305b9a3af1cf1e0a704473d82,SOPAYPV12AB017DB0C,1,0,1
3795,25f83a09541073b1bde62e6e513cb938d3b148de,SOYMIMI12AB0181E5C,7,1,1
7417,e8f6a8d06b0096737dec1a9f44c3d48cd9e5e4b8,SOYGHUM12AB018139C,2,1,1
29575,0c2932cb475b83b61039bdfbb72c14580b8fad2b,SOLFXKT12AB017E3E0,2,1,1
34110,a4ccc36714975978b545e35db83584fa9f7fa6c6,SOOLPFK12A58A7BDE3,1,0,1
9824,4e73d9e058d2b1f2dba9c1fe4a8f416f9f58364f,SOVTQLS12A6D4F8350,2,1,1
22343,0ad0283d63a5c591a104142f8a2f5bbd779389b0,SOWVBDQ12A8C13503D,1,0,1
29550,0c2932cb475b83b61039bdfbb72c14580b8fad2b,SOFKABN12A8AE476C6,2,1,1
36447,f629b337d01f254e0d685ccc66ec2fd5ddba78d9,SOXJYJM12A6310D7C1,1,0,1
24621,7bcddb67f19237b576a04ffba65bbb5436085f36,SONIMNU12B0B8092AB,3,1,1
24101,2a3d80f37b92fa113d4f4b0785d797153cca5f63,SOQWYAQ12A6D4FB9A3,2,1,1
7419,e8f6a8d06b0096737dec1a9f44c3d48cd9e5e4b8,SOYKFFK12A8C14391D,1,0,1
35628,2744a71984cdf296fb94de2b9d5aa0f065ffb1ab,SOQGSUC12A8C13B66D,22,1,1
27238,01a957fd771b0e80ef7843684217cad5939b4add,SOWEHOM12A6BD4E09E,44,1,1
11488,db6a78c78c9239aba33861dae7611a6893fb27d5,SOBOUPA12A6D4F81F1,6,1,1
30924,8b64bf1db75f427e41133d39955fb3f1a28417d9,SOAXGDH12A8C13F8A1,44,1,1
36225,3877e44d4632df125ec8a838aae59eb04d36f9d6,SOPKEIV12AB018220D,1,0,1
25013,50a645c50e28dc80db4fa079a8152db4cce82e8f,SOMZVGZ12A8C140EFF,7,1,1
24032,60760dee24fde175d395a821aa36dab85a579086,SOISNSU12AC468C0D8,1,0,1
36398,f629b337d01f254e0d685ccc66ec2fd5ddba78d9,SOIBLKQ12AB0183E85,3,1,1
11977,b4357696b37950c23ce4e87f7e8620071f65fc44,SOUCKDH12A8C138FF5,15,1,1
14355,f99a25251dfd3c44b629c3658bf6c0d0a7a3d0ce,SOPKPFW12A6D4F84BC,3,1,1
10760,4468ce74671606114d8fe94ebbd928b9e925d049,SOSLQGG12A6D4F5045,3,1,1
33400,22f6aae94643c2cea285413068f80274e7f1f75e,SOIZLKI12A6D4F7B61,5,1,1
19395,2eb0876f28b485ed457921f6514079bf6be1e0cf,SOLOZRE12A8C133256,3,1,1
23027,18c1dd917693fd929e3f99dd7906c2aafe9ff17f,SOQWSHS12A6701C576,1,0,1
34199,f9edc8907be695518817082a224aa43beca7d994,SOSHVEI12AF729AF6B,4,1,1
1842,d13609d62db6df876d3cc388225478618bb7b912,SOSJRJP12A6D4F826F,2,1,1
26008,3325fe1d8da7b13dd42004ede8011ce3d7cd205d,SOPIEIJ12A6D4F8F81,10,1,1
30820,b7c24f770be6b802805ac0e2106624a517643c17,SOVIZNF12AF72A710A,28,1,1
19476,2eb0876f28b485ed457921f6514079bf6be1e0cf,SOZDACG12AB01853BB,2,1,1
25595,3b93435988354b1889de1e71810d1dd65c4ba17c,SOPBXPQ12AB01887E2,1,0,1
2384,0b19fe0fad7ca85693846f7dad047c449784647e,SOLCKAS12A8C14242A,6,1,1
20832,8f60fbacfa3387330c6114aec91aff41adc3379b,SOEBOWM12AB017F279,1,0,1
34812,6c99ae7e53e91f7e839444b2f00c8503a4a10fcf,SOSKFED12A8C1343AB,1,0,1
36831,6c6289326f70321f2b3e072daa44819efc55639a,SOHZPIK12A58A7CCAE,4,1,1
23609,2c2790c0ce23f00f1b642fd356ec6854a133d083,SOMCAFM12A58A7B024,1,0,1
30729,b7c24f770be6b802805ac0e2106624a517643c17,SOPGCOH12A8C139789,9,1,1
9275,433f907cfd7e5febc71200438c107ee3989d6fac,SOKUAGP12A8C133B94,3,1,1
24360,0252acdea2a493da2704c23eebaeaa155b18b7d0,SOLRDEI12A8C13AAA2,37,1,1
7115,c9ccbdf63666eb4b570bb9103f371346e2c3b378,SOTVMLE12AB018168E,1,0,1
9814,4e73d9e058d2b1f2dba9c1fe4a8f416f9f58364f,SOUVDUK12A8AE489A3,1,0,1
3455,952130c8ae0527458c75471812dbb5c506b46d5d,SOWGXOP12A6701E93A,1,0,1
22109,6326095256b355d4b4fa34771b7b524a1c4cc8f8,SOJSTYO12A8C13F200,1,0,1
6941,b3dd0cfd6801e5af3a1a42acd9055f97c0112ad8,SOGWJEY12AC9618862,8,1,1
16784,3becbc727a8572453d170c909829fda9e6d00554,SOPTLTT12A58A7938D,2,1,1
13405,d6aa929de7dc0b63f1f42bd0aef31906070d03bf,SOWVBDQ12A8C13503D,1,0,1
13907,99ac3d883681e21ea68071019dba828ce76fe94d,SOLTSGU12A8C13BFE5,3,1,1
13879,7292940e88718a59e8310c6f53363fd5a76e7651,SOVAUWH12AB01857EA,31,1,1
17388,bc3777585de3e0786e06328c118de9eb47470726,SOSJRJP12A6D4F826F,2,1,1
25435,faf0beb5d7ff9d39244b0713de08304c3691f71b,SOUIYDY12A8C141517,17,1,1
19214,9b06094a34c6c421b86df33c879b8980d1038cd8,SOXQROF12AB0186B1D,3,1,1
16416,62d59a3a252b58415e7aececf237de61535b7d5a,SOUOPLF12AB017F40F,1,0,1
35298,0fb08af6e4cd85e39f0c939097792a95be3431ee,SOBOUPA12A6D4F81F1,1,0,1
5111,f6ae5e682750e815c1709ca99138d03b039839d6,SOWCKVR12A8C142411,4,1,1
2128,dd29009e6148c8c21544c27e7c074b4601ba54e5,SOPQLBY12A6310E992,1,0,1
10983,c2d78d260f5bddc3fa2db228bb72ccae6ff7a8e1,SOMDVSL12A6D4F7230,4,1,1
28533,c1255748c06ee3f6440c51c439446886c7807095,SOEQJBS12A8AE475A4,5,1,1
6552,eaa2b3c9e086a662ab15e10ca6211a3207f40a50,SOLZEED12A6D4FA8C9,2,1,1
17590,b21e1b6b14b7b3b8b8e683e82ede0e59ad64e9f7,SOKLRPJ12A8C13C3FE,5,1,1
26442,8febc928241a0c88adca87a428fe0650e902a683,SODJWHY12A8C142CCE,2,1,1
15361,bdfca47d03157d26f1404075172128a6f8a3d39e,SONOYIB12A81C1F88C,1,0,1
26192,93158e3983ffc8945e25c793d93d6b67d46cae9d,SORWLTW12A670208FA,1,0,1
2803,d8aace9308e530e0f1ef2a85258b62f8245be423,SOFGJCW12AF72A812D,5,1,1
22914,b85e70839fc5b7fd6efe8e152c9e20021157bea3,SOSCIZP12AB0181D2F,16,1,1
27871,ceac6b2713499c25cf217ec915063de66e26a586,SORVYXQ12AB018C994,2,1,1
18962,2e21c7fa3c52a4f3b33019601d67fbdfc12626a6,SOURVJI12A58A7F353,2,1,1
34650,fa5d9eddc010bc3fc71f8a42db15e5dd4f1c18a3,SOIMCDE12A6D4F8383,4,1,1
20589,28072dd1efa8a37ebfe6f70cffe91e23d9073d3c,SOHZPIK12A58A7CCAE,11,1,1
23975,4aa35a6181dc8ba9635790467dcf4f0d57fee0c0,SOHRQFL12A6D4F3C8A,19,1,1
37138,57f7c9671c77f73db905344afc45627cfe5cba77,SORMGEO12A8C14406D,5,1,1
13176,c9f6fe7decdc7ca98d226717b4e3d660253c224f,SOREPNQ12A58A7B49E,1,0,1
27922,951976e7c0d096e83cfbef63febae9332c862556,SOUGAYN12A6D4F6E90,2,1,1
15314,c47e1a887a1b437dc9acd19af5592c414bb6ca86,SOTKNTF12A8C144A0D,14,1,1
33271,956dc1095d8f22575d3936191ce20b789b0ffc4d,SOIZLKI12A6D4F7B61,3,1,1
9426,324de4a258619466993c3bd75f340bc19e82bc62,SOXUYUZ12A8C13A67E,1,0,1
6252,0c68affd09224b5231f656c31aec29505da2f661,SOLZEED12A6D4FA8C9,9,1,1
15309,c47e1a887a1b437dc9acd19af5592c414bb6ca86,SORVYXQ12AB018C994,1,0,1
16395,62d59a3a252b58415e7aececf237de61535b7d5a,SOIZLKI12A6D4F7B61,4,1,1
25561,1ff6d6bf0ec7ad1c288a48d6e06fd5ad708877d9,SOWNVIV12AB0184846,1,0,1
